"LOCATION" "FINAL_MARGIN" "SHOT_NUMBER" "PERIOD" "DRIBBLES" "TOUCH_TIME" "SHOT_DIST" "PTS_TYPE" "SHOT_RESULT" "CLOSE_DEF_DIST"
"226" "H" 15 9 1 0 0.7 25.4 3 "made" 5.4
"227" "H" 15 10 1 1 1 46.9 3 "missed" 3.4
"228" "H" 15 11 2 1 2.3 2 2 "made" 0.9
"229" "H" 15 12 2 1 1.7 23.8 3 "made" 2.8
"230" "H" 15 13 2 0 0.6 25.9 3 "made" 4.9
"231" "H" 15 14 3 4 3.7 27.1 3 "missed" 4.8
"232" "H" 15 15 3 0 0.7 24.1 3 "missed" 4.8
"233" "H" 15 16 3 0 0.6 22.5 3 "made" 4.4
"234" "H" 15 17 3 6 12 21.8 3 "missed" 2.5
"235" "H" 15 18 3 1 1.5 11.2 2 "made" 6.6
"236" "H" 15 19 3 0 1.3 23.6 3 "made" 3.1
"237" "H" 15 20 3 4 3.2 2.2 2 "made" 3.2
"238" "H" 15 21 3 0 0.6 23.8 2 "made" 3.5
"239" "H" 15 22 4 6 8.2 26.7 3 "missed" 4.2
"240" "H" 4 1 1 1 1.6 25 3 "made" 3.4
"241" "H" 4 2 2 8 7.8 26.6 3 "made" 9.5
"242" "H" 4 3 2 0 0 31.1 3 "made" 10
"243" "H" 4 4 2 0 0.9 17.6 2 "missed" 3.6
"244" "H" 4 5 2 0 0.7 22.5 3 "missed" 9.6
"245" "H" 4 6 2 0 0.9 26.1 3 "made" 5.9
"246" "H" 4 7 3 4 3.5 15.1 2 "missed" 1.7
"247" "H" 4 8 3 9 7.6 27.9 3 "missed" 5.3
"248" "H" 4 9 3 5 6 9.4 2 "missed" 4.3
"249" "H" 4 10 3 1 1.8 24.9 3 "missed" 3.6
"250" "H" 4 11 3 1 4.1 11 2 "missed" 2.9
"251" "H" 4 12 3 0 0.8 24.7 3 "missed" 6.4
"252" "H" 4 13 4 10 7.6 25.3 3 "made" 6.4
"253" "H" 4 14 4 0 3.3 25.2 3 "made" 4.8
"254" "H" 4 15 4 5 6.6 16.3 2 "missed" 3.1
"255" "H" 4 16 4 0 1.4 22.7 2 "made" 2.7
"256" "H" 4 17 4 6 7.5 27.7 3 "made" 5.2
"257" "H" 50 1 1 0 0.7 26.8 3 "made" 4.5
